Total Nacional;Comunidades y Ciudades Autónomas;Tipo de Delito: Nivel 1;Tipo de Delito: Nivel 2;Tipo de Delito: Nivel 3;Tipo de Delito: Nivel 4;Periodo;Total
Total Nacional;08 Castilla - La Mancha;A Total Delitos;20 Contra la Administración de Justicia;20.8 Quebrantamiento de condena;;2013;484
Total Nacional;08 Castilla - La Mancha;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2021;24
Total Nacional;08 Castilla - La Mancha;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2020;16
Total Nacional;08 Castilla - La Mancha;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2019;25
Total Nacional;08 Castilla - La Mancha;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2018;25
Total Nacional;08 Castilla - La Mancha;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2017;42
Total Nacional;08 Castilla - La Mancha;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2016;48
Total Nacional;08 Castilla - La Mancha;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2015;27
Total Nacional;08 Castilla - La Mancha;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2014;41
Total Nacional;08 Castilla - La Mancha;A Total Delitos;20 Contra la Administración de Justicia;20.99 Otros delitos contra la Administración de Justicia;;2013;23
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;;;2021;470
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;;;2020;385
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;;;2019;428
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;;;2018;410
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;;;2017;411
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;;;2016;484
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;;;2015;485
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;;;2014;511
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;;;2013;517
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2021;431
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2020;334
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2019;384
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2018;370
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2017;357
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2016;443
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2015;426
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2014;471
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;;2013;468
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2021;236
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2020;173
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2019;222
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2018;206
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2017;198
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2016;282
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2015;254
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2014;280
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.1 Atentados contra la autoridad;2013;287
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2021;195
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2020;161
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2019;162
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2018;164
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2017;159
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2016;161
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2015;172
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2014;191
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.2 Atentados contra la autoridad y de la resistencia y desobediencia;22.2.2 Resistencia y desobediencia;2013;181
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2021;39
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2020;51
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2019;44
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2018;40
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2017;54
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2016;41
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2015;59
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2014;40
Total Nacional;08 Castilla - La Mancha;A Total Delitos;22 Contra el orden público;22.99 Otros delitos contra el orden público;;2013;49
Total Nacional;08 Castilla - La Mancha;A Total Delitos;R Resto de delitos;;;2021;197
Total Nacional;08 Castilla - La Mancha;A Total Delitos;R Resto de delitos;;;2020;139
Total Nacional;08 Castilla - La Mancha;A Total Delitos;R Resto de delitos;;;2019;210
Total Nacional;08 Castilla - La Mancha;A Total Delitos;R Resto de delitos;;;2018;183
Total Nacional;08 Castilla - La Mancha;A Total Delitos;R Resto de delitos;;;2017;158
Total Nacional;08 Castilla - La Mancha;A Total Delitos;R Resto de delitos;;;2016;162
Total Nacional;08 Castilla - La Mancha;A Total Delitos;R Resto de delitos;;;2015;146
Total Nacional;08 Castilla - La Mancha;A Total Delitos;R Resto de delitos;;;2014;158
Total Nacional;08 Castilla - La Mancha;A Total Delitos;R Resto de delitos;;;2013;116
Total Nacional;09 Cataluña;A Total Delitos;;;;2021;66.985
Total Nacional;09 Cataluña;A Total Delitos;;;;2020;51.968
Total Nacional;09 Cataluña;A Total Delitos;;;;2019;71.655
Total Nacional;09 Cataluña;A Total Delitos;;;;2018;67.929
Total Nacional;09 Cataluña;A Total Delitos;;;;2017;65.198
Total Nacional;09 Cataluña;A Total Delitos;;;;2016;60.760
Total Nacional;09 Cataluña;A Total Delitos;;;;2015;46.131
Total Nacional;09 Cataluña;A Total Delitos;;;;2014;41.858
Total Nacional;09 Cataluña;A Total Delitos;;;;2013;40.388
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;;;2021;155
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;;;2020;160
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;;;2019;188
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;;;2018;197
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;;;2017;166
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;;;2016;216
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;;;2015;257
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;;;2014;222
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;;;2013;227
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2021;53
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2020;68
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2019;53
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2018;58
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2017;48
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2016;73
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2015;76
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2014;100
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.1 Homicidio;;2013;88
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2021;20
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2020;37
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2019;20
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2018;24
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2017;46
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2016;34
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2015;68
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2014;40
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.2 Asesinato;;2013;50
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2021;82
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2020;55
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2019;115
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2018;115
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2017;72
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2016;109
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2015;113
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2014;82
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.3 Homicidio por imprudencia;;2013;89
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2021;""
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2020;0
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2019;0
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2018;0
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2017;0
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2016;0
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2015;""
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2014;""
Total Nacional;09 Cataluña;A Total Delitos;1 Homicidio y sus formas;1.4 Inducción al suicidio;;2013;0
Total Nacional;09 Cataluña;A Total Delitos;3 Lesiones;;;2021;10.066
Total Nacional;09 Cataluña;A Total Delitos;3 Lesiones;;;2020;7.204
Total Nacional;09 Cataluña;A Total Delitos;3 Lesiones;;;2019;9.408
Total Nacional;09 Cataluña;A Total Delitos;3 Lesiones;;;2018;9.095
Total Nacional;09 Cataluña;A Total Delitos;3 Lesiones;;;2017;9.179
Total Nacional;09 Cataluña;A Total Delitos;3 Lesiones;;;2016;7.679
Total Nacional;09 Cataluña;A Total Delitos;3 Lesiones;;;2015;4.651
Total Nacional;09 Cataluña;A Total Delitos;3 Lesiones;;;2014;4.227
Total Nacional;09 Cataluña;A Total Delitos;3 Lesiones;;;2013;4.129
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;;;2021;3.617
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;;;2020;2.570
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;;;2019;3.293
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;;;2018;3.140
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;;;2017;3.024
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;;;2016;2.638
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;;;2015;1.622
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;;;2014;1.286
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;;;2013;1.264
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2021;2.981
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2020;2.102
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2019;2.704
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2018;2.639
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2017;2.541
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2016;2.200
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2015;1.304
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2014;1.060
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.2 Amenazas;;2013;1.062
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2021;636
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2020;468
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2019;589
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2018;501
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2017;483
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2016;438
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2015;318
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2014;226
Total Nacional;09 Cataluña;A Total Delitos;6 Contra la libertad;6.9 Coacciones y detenciones ilegales;;2013;202
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;;;2021;1.029
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;;;2020;754
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;;;2019;753
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;;;2018;733
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;;;2017;642
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;;;2016;648
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;;;2015;505
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;;;2014;341
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;;;2013;364
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2021;1.011
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2020;748
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2019;743
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2018;717
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2017;624
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2016;637
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2015;481
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2014;335
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.1 Trato degradante y violencia;;2013;360
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2021;17
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2020;4
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2019;9
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2018;16
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2017;15
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2016;10
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2015;24
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2014;6
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.2 Tortura;;2013;4
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2021;1
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2020;2
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2019;1
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2018;0
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2017;3
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2016;1
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2015;0
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2014;0
Total Nacional;09 Cataluña;A Total Delitos;7 Torturas e integridad moral;7.3 Otros;;2013;0
Total Nacional;09 Cataluña;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2021;536
Total Nacional;09 Cataluña;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2020;438
Total Nacional;09 Cataluña;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2019;435
Total Nacional;09 Cataluña;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2018;431
Total Nacional;09 Cataluña;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2017;457
Total Nacional;09 Cataluña;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2016;457
Total Nacional;09 Cataluña;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2015;416
Total Nacional;09 Cataluña;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2014;376
Total Nacional;09 Cataluña;A Total Delitos;8 Contra la libertad e indemnidad sexuales;;;2013;358
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;;;2021;446
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;;;2020;397
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;;;2019;552
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;;;2018;579
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;;;2017;712
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;;;2016;792
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;;;2015;882
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;;;2014;899
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;;;2013;819
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2021;446
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2020;395
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2019;552
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2018;579
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2017;708
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2016;791
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2015;880
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2014;896
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;;2013;819
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2021;0
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2020;0
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2019;1
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2018;5
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2017;3
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2016;5
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2015;1
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2014;1
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.1 Quebrantamiento de los deberes de custodia;2013;4
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2021;7
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2020;4
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2019;5
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2018;3
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2017;11
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2016;1
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2015;6
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2014;9
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.2 Sustracción de menores;2013;3
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2021;439
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2020;391
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2019;546
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2018;571
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2017;694
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2016;785
Total Nacional;09 Cataluña;A Total Delitos;12 Contra las relaciones familiares;12.3 Contra los derechos y deberes familiares;12.3.3 Abandono de familia;2015;873
